雞籠
草鞋墩
水長流
霧社
湳仔
埔中央
松柏坑
水裡坑
木屐?
內茅埔
林圮埔
雲林
羌仔寮
粗坑
斗六門柴裡
斗六門
柴裡
他里霧
后尾
大崙腳
五間厝
西螺
螺陽
塗庫
埔姜崙
東勢厝
崙仔頂
五條港
海口厝
庵古坑
莿桐巷
二崙仔
麥仔簝
大埤頭
元掌
畚箕港
水燦林
四湖
烏麻園
象鼻湖
頂口湖
林內
諸羅山
天興縣
諸羅縣
打貓
水堀頭
鹿仔草
溝尾庄
樸子籬
猴樹港
猴樹港
六家佃
六腳佃
新南笨港
大莆林
雙溪口
義竹圍
魍港
虎尾寮
竹頭崎
羌仔科
沙坑
獅子頭
山子門
番子潭
蘆麻產社
灣橋村
內埔子
樟樹坪
瓦厝埔
覆金
緞厝寮
阿拔泉社
金獅寮
柑仔宅
畚箕湖
糜仔坑
奇冷岸社
圳頭
科子林
過山
大半天寮
雙溪
九芎坑
大草埔
大坪
龍眼林
生毛樹
番仔路
觸口
內甕
轆子腳
下坑
大湖
公田
中埔庄
干仔霧社
阿里山
沼之平
眠月
飯包服
二萬坪
十字
平遮那
科子林
踏枋社
肚武膋社
拉拉吾雅
尼雅俟烏支那
頂笨子
石鼓盤
沙米箕社
達那伊谷
達谷布朗
大龜佛社
尼亞后薩
珈雅瑪麻拿
大員
加老灣
府城
赤崁
安順
溪仔漧
中州寮
埔羌頭
大目降
店仔口
山仔頂
直加弄
焦吧哖
西阿里關
關帝廟街
官佃
蕭壟
灣裡
永寧
萬裕埤
橄欖山
打狗
打鼓
打鼓山
白砂墩
茄藤社
茄藤港
堯港
烏樹林
竹仔港
彌羅
彌羅港
大湖
圍仔內
半路竹
呵嗹
阿公店
竿蓁林
援剿
苓仔寮
旗後
內圍
湳仔坑
楠仔坑
右衝
右沖
鳳山港
大港埔
下坡頭街
林仔邊
蕃薯寮
羅漢門
甲仙埔
阿里關
東阿里關
雅爾
多納
瑪雅
橋仔頭
阿猴
九塊厝
阿里港
塔樓
武洛
萬丹
上淡水
淡水
濫濫
新園
力力
潮州庄
八老爺
頓物
長興
凌洛
東振新庄
高樹下庄
加蚋埔
鹹埔
內埔
中心崙
蠻蠻
拆散
茄藤
萬巾
放索
加匏朗
小淡水
溪州
新埤頭
林仔邊
茄苳腳
六根
枋寮
北旗尾
霧台
音斯笛摩兒
山地門
三地
瑪卡札亞札亞
瑪佳沙
大武
巴夫瓦夫瓦
來義
崩山
獅子頭社
牡丹社
龜壁灣
福安城<
柴城
瑯橋
蚊蟀埔
蛤仔欄
五圍
頭圍
打馬煙
抵美簡
民壯圍
利澤簡
老董
老懂
濁水
洄瀾
知卡宣
七腳川
鯉魚尾
馬太鞍
水尾
森?村
璞石閣
研海
巴內大
乾溪
公埔
卑瑪拉
卑南
寶桑
卑瑪拉
卑南
比納斯基
檳榔
阿里擺
班鳩
萬萬
烏利敷利敷庫
巴哈利彎
北絲鬮
龍過脈
堪那多羅
大巴六九
利卡夢
呂家罔
遵化
達魯瑪克
大南
治本
卡地布
利基利基
里壟
馬武窟
麻老漏
成廣澳
比西里岸
加只來
跋便
加走灣
新開園
大貓狸
巴塱衛
鹿寮
海多端王
新武路
新武呂
加拿典
加鹿
紅石頭
大埔
網綢
瀧
霧鹿
利稻
沙拉沙
巴喜告
瓦崗南
布谷拉夫
喜儂頌
內本鹿
金崙
阿塱衛
土哇巴樂
大?鹿
彭佳嶼
草萊嶼
大峙山嶼
棉花嶼
花矸嶼
花瓶嶼
旗竿嶼
扛轎嶼
煙斗嶼
五獅嶼
龜山島
釣魚臺
外傘頂洲
拉美島
金獅子島
砂瑪磯
小琉球
火燒島
雞心嶼
淡馬顏
紅頭嶼
小紅頭嶼
島夷
方壺
漁翁島
媽宮
媽祖嶼
埔仔
紅毛城
火燒棚
東衛
西衛
案山
後窟潭
闉墩仔社
前寮
石井社
鐵線渼
菜園社
圭母塢
小管
噚垵
豬母落水
烏崁社
風櫃澳
好井
桶盤
鮓腳嶼
湖西社
湖東社
許家村
港底社
大城北
東后
西溪
句龜鼊港
潭邊社
林投社
青螺社
隘門
沙港頭社
尖山
紅林擔
鼎灣
?葉
太武社
良文港
白猿坑
頂山
北海嶼
城前
瓦硐港社
巷港
中墩
岐頭
港仔社
大赤崁社
港尾
鎮海
通梁
員貝
吉貝
大烈嶼
 
目斗嶼
大倉
鳥嶼
漁翁島
大池角
小池角
內塹
外塹
緝馬灣
竹篙灣
小門
橫礁
八罩嶼
網垵
水垵
花宅
挽毛潭
將軍澳嶼
東吉嶼
西吉嶼
東嶼坪嶼
西嶼坪嶼
花嶼
大嶼
南嶼
浯洲
仙洲
後浦
金瓊鄉
鏡澳
白犬
白肯
東湧
雞籠山
雞籠杙
馬鄰
大佳蚋
大浪泵
奇武卒
興雅
三張犁
麻里即吼
上塔塔悠
下塔悠
干答
里簇
毛少翁
金包裏
峰峙
武溜灣
官渡
關渡
關杜
墘竇
關豆
乾竇
肩脰
塔庫普亞女
虎尾
牌仔山
哈盆
宇內
馬龍潭
新廣庄
斗六柴裡
搭里霧
吼尾
螺湯
麥仔寮
笨港
莽港
盧麻產社
阿拔寮
梅仔坑
嶇嶺岸社
嫻仔霧社
十字卡
頂笨
大圭佛社
珈雅瑪方納
打狗山
打鼓山
白砂崙
茄萣社
蟯港
微羅港
大湖街
阿嗹
雅你
雅猴
武洛社
上淡水社
下淡水
濫濫庄
力力社
潮庄
玲路
打獵埔
戀戀
赤山
奢連
萬金
阿加
茄藤社
六根庄
斯笛摩兒
山豬毛
統領埔
瑯嶠
甲子難
達媽嫣
利嘉
呂家望
迪化
大馬武窟
麻荖漏
比西里岸社
加只來社
跋便社
朝麻籬
海哆哆灣
阿塱衛社
大嶼
龜山嶼
釣魚嶼
外傘頂沙洲
沙馬基
琉球嶼
青仔嶼
紅豆嶼
西瀛
平湖
媽宮社
東衛社
西衛社
案山仔社
小日月潭
前瞭
鐵線尾社
雞母塢社
小港
禪垵
豬母水
風櫃尾社
桶盤社
鮓腳嶼社
東石社
西澳社
龜壁社
紅林罩
?葉社
白猿坑社
中墩社
岐頭社
港尾社
通梁社
吉貝汛
大池角社
緝馬灣社
竹篙灣社
小門社
橫礁社
水垵澳
挽毛潭澳
東急嶼
西急嶼
花崗石嶼
南天島
大佳蠟
圭泵
圭母卒
上搭搭攸
干荳
禮族
麻舍翁
武嘮灣
戶尾
上宇內
柴裡斗六
蚊港
鹿麻產社
簡仔霧社
十字路
大居佛社
珈雅瑪
眉螺港
湖街
上澹水社
下淡水社
麟落
嘉獵埔
萬蠻
笛摩兒
郎嶠
葛雅蘭
八知買譯
呂家
麻荖漏社
大麻里
龜島
釣魚山
外傘頂汕
亶州
彭湖
鎖港
禪垵澳
大加臘
奎府聚
干豆門
麻肖翁
戶美
達谷布亞努
大木連
下澹水
玲珞
噶瑪蘭
巴抵馬悅
龜嶼
釣嶼
干答門
芳舍翁
和美
達庫布雅努
麻里麻崙
玲珞社
釣臺
