肇嘉嫂
鐘柏卿
何義
於家
黃朝欽君
林田
郭雨新君
明發君
松波
鹿鳴春
林慶亭
梁氏
伯淵君
萬福君
馬時
徐婦科
蔣總
萬賢兄
張秘書
華宗
烏仔
許伯埏
徐內科
林正霖
賴肇東
李科長
何景
顧鴻傳
西老
和貴君
石律師
張家參
廖太
三人
雙連
壽大樓
維納
吳萬子
孫炎午
李君晰
莊兄
蓬萊閣
何歡
魏君家
陳榮銘
李法森
碧蓮閒
黃宗堯
來禧仔
於林妻
仲岑君
於南豐
曹宜蘭
吳三連
湯盤
梁永
華裕行
劉萬兄
李崇禮
蔡東魯君
子蘅
徐東海
顏海
梁財君
蕭瑟
沈榮
權貴
劉迪德
康秘書
祝賀其
碧蓮經
工務段
賴滄洧
鄭倉
宗仁家
柳君
龍岩
韓笛鈴
何春
麗子
於三連
陳八爺
戚林某
胡營
清棟
劉欽哲
於伯昭
李茂炎
祝禮
吳敦禮
蔣鐵道
張丁乙
錢莊正
翁氏夫
碧蓮永
振德兄
武田書
平田
元禧兄
姜軍
雲霧霞
鄧輝兄
李宜蘭
陳清棟
李師
仲凱
張訓君
熙宗君
邱昌麟
華宗宅
唐山
車不克
朱啟全
陳校長
宮田
葉君
林猶龍
基進君
蔡謀海
彭永盛
藤田君
侯全成
賴武明
李孝存
郭榮
陽君夫
振德
羅君
溫秘書
廖能家
張和貴君
陳茂源
宋維屏
陳協
石純兄
李燕良
陳家霖
林約東
李君家
王鐵道
揚滿
盧秘書
馬有岳
趙科長
梅崎氏
李紹威
嘉義圓
徐木生
白留
蔡培
海蘇丸
胡兆輝
母親賢
劉者
秋君
田淵
王熙宗
翁君
連震東
莊宅密
汪精衛
呂金登
陳金萬
碧蓮別
但華
蔡居君
楊信義
杜兄
雪玉
蔡保蓮
史豪
謝國城
烏雲
吳新池
孟麗君
顏世昌
同時託他元
申錫雨
雙溪
金鐘兄
顏有福
龍夫婦
陳啟琛
楊連捷
由嘉義
七點尚
楊鐵道
李清漂
通堯君
黃騰達
李翼
楊失蔭
劉萬君
許夢蘭
沙處長
景嘉
林文騰
葉仔
陳親家
李清
奎君
沈某
林權民
由龍岩
慎仔
李金鐘
杜兩兄
竹青君
趙璧
廣仔
沈榮律
德夫婦
碧蓮老
楊縣長
池田
張有忠
張和貴強
但玉燕
貢獻於
陽光
終於演
仰君
乾兄
徐處長
劉謨文
陽春
鐘勝
曹達遇
吳國信
陳秀
張新
於長安
茹營
葛君
祝賀會
瑞虎
王彩雲
王雲龍
碧蓮乘
由光隆
關潮
郭欽禮君
孫國衡
榮鐘諸
陳火斐
田村
元吉君
修曾
徐炳南
李尚發君
石朝波
吳瑞泰
基錫
吳阿
賴君
徐志剛
徐灶生
石美瑜
祝山
蘇子蘅
南志信
鄭兄
吳宅宴
仲親臨
高雪貞
郭內科
饒氏
袁心武
蔡曉山
謝東閔
徐褒
賴水秀
炎峰
曉芳
劉兩君
陳有德
簡文發
林雙霜
尚崑宅與尚
董丁山
王昆
託他調查楊俊隆君事並且
劉振長
趙兄
有德君
伯夫婦
林泉君
黃金
榮鈴
蘭洲兄到尚
車璐乾
陳廉
楊信
愛永恆
洪君
李進添
阿玉乘
關於紀
阿娥
梅崎
立石
袁鑄厚
吉禮
鳳麟
吳宅
洪炎秋
陳金萬君
由有祥
何輝
周壽源
松齡君
盧賢濟君
黃遵芬
林嘉
章玄士
陽美術
范濟川
楊基榮
楊延齡
米谷氏
梁兄
陳炎
妙景
井君
藍天
黃國壽
盧明民
蔡垂
勵生
碧蓮忙
鳳鳴院
元禧夫
林含鈴
墨君
碧蓮正
碧蓮
郭耀庭
弗庵君
連信
泰行曾
張兄
徐月娥
董萬山
陳範
許伯昭
紅雲
徐燦
陳哲民
羅仲屏
賴尚坤
張家口
李定君
王耀東
楊洞
莊君
四點在尚崑宅與尚
周滿福
關於
子津
景秘書
宗仁
釋明
李友
陽兄
秋海君
道庭春
郭松
友三兄
王錦江
王為清
諸姨子
嘉哥
沈榮家
蔡君
於兄宅
五君
翁氏
黃瑜君
李秘書
周仁
君耀
賀禮
南生
袁琮兄
田園
蘇軍
溫泉
楊燕飛
洪妙
德兄
張心深
楊君
詹和君
郭清
郭教
曾夫婦
鄭道儒
陳運中君
梅蘭
王青佐
陳立森
王育仁
半尚
林邊
沙君家
迎賓樓
吳國楨
張秀
祝大會
陰雨
楊信夫
陳茂
陳萬福
馬家溝
鳩一見
尹仲容
柯子彰
王書
盧溝橋
柯君
天賦哥
關於信
何正義
町買布
林秋錦
墨仔
李友三
邊氏
王君錫奇
蔡欽
徐炳
張月登
陳姊丈
楊金國君
祝宗義
楊忠
陳培蘭
楊孟學兄
蕭夫婦
洪耀勳
李天順
賴木杞
於遠東
袁兄
伯齡君
乾兄正
林連芳
翠池
灣光
碧蓮本
陳啟川
在黑
吉見猛
雨新君
洪某
寶順
賴三
胡檢察
邱水德
黃溫泉
廖君
米谷君
李卿雲
黃逢平
關於顧
曹長
張伯謹
黃聯登
尚文
簡謙泰
鄭釵君
廖秀
但碧蓮
孟學兄
徐繼善
華中
關於啟
沙兄
顧正秋
郭天乙
周萬福
黛玉
元龍君
車中幸
陳君
紀阿仁
陳士賢
莊晨耀
廖文圭
邱世鴻君
吳江雨
蒲田
德欽君
植冬君
加星賢
陳厚吉
廖永堂
陳鐵
老居兄
淺香君
李石
許君
陳茂松
吉見宅
溫君
公廷君
五點在尚
謝禮
陽君宅
劉兄
楊義夫
謝華輝
伯昭
魏榕夫
於世
徐申初
有德兄
張來
董君
高義閣
雪貞來
關於三
丘斌
劉媽
孟君
洪公川
豐福
憶起啟
程氏
邱乃平
言語
柳兄
陳樹曦
林元彥
陳述燕
邵鐵道
朱崔
子文
譚律師
但慶仔
桂瑞兄
陳炳煌
陳廳
梁基
曾珍君
杜兩人
邱世鴻
由佳里
克典兄
寶玉
鄭重
楊子文君
林成旺
賴祺祥
國喜君
鐘伯卿
王潔宗
顏海玲
從森榮
顏海冷
周田兄
邵督
賴宅
謝謝
許子秋君
高雄
呂永凱
祝勝
徐鄂雲
陳振茂
陳雨亭
詹元龍
周文仙
張坤
星賢君到尚
子文君
庫科
令君
祖國
王榮銓
劉開灤
王乙金
烏樹林
張訓兄
何君
水德君
東魯君
顯宗君
唐榮許
楊永茂
李棠
許丙
少英夫
楊天賦
鳳麟兄
林茂生
華輝
林習之
周川
關曉村
邱瀛子
王君禮
黃朝琴
顧之憂
德君夫
吳竹性
郭松根
林吾鏘
有一
王仲岑
林金進
陳東興
莊天祿
陳情
胡煥奇
柯子彰君
許諾
陳炯
王蘭亭
陳金祥
鄂雲
賴錫祥
小澤
連君
吳萬
封鎖
關子嶺
維雄
遊羅東
戴淑國
來此
阿梅
楊陶兄
黃炎生
郭天庚
洪桃婆
曾仁
張碧蓮
祝肇嘉哥
黃參謀
來啟蒙
李君耀
蔡錫
南氏
劉頤
浦承烈
問澤田
訪問尚
蓬萊
子文來
小松氏
池仔
伊藤
辜偉甫
子秋君
歸仁
魯君
孫院
邱四人
廖能兄
華君倉
星賢夫
林根生
石錫純
張星賢
馬友岳
寶貴
蔣科長
沈清兄
顧問
琳生
岡田氏
益謙公
李君
俞人鳳
全盤
嘉賓閣
顏春
伯為勸
梁基煌
關錦飛
白雲乾
毛昭江
聽滄洧
郭氏
胡傳習
賴尚
町照紀
張有中
東四
東氏
金進
顏欽賢
杜三人
柯賢湖
林田山
郭雨
張和貴
林錦坤
饒君家剛
招仙閣
吳森炎兄等喫茶並
和越智
李順天兄
文達兄
於梅崎
仲凱兄
林仔
嚴德君
張章
汪秘書
楊慶津
來永仔
町去
星賢君
五點請尚
特開
關於國
顏春安
江丁
林君
杜五人
心炳炳
彭滋明
吳彩
黃氏
黃天邁
於南華
高淵源
王清吉
楊伯齡
陳兩君
曹萍
吳祈君
李丙心君
華森
阿蓮
楊月娥
唐榮徐
樊兄
李金鐘君
王崇施
終於
楊緒銘
尚文君
賴耀奎
呂君
陳娟娟
基銓君
茂蟾
川兄十點半
徐經理
阿娟
徐君
星之浦
碧蓮真
王軍
張群
科見盧
魏玉章
同瑞麟
林聯登君
施三君
鄭三人
滿懷
林阿
諸君
郭大甲
張家
文騰君
梁秋榜
林柳濱
杜君
許法
秋雲
碧仔
王萬傳
陳第
孔三君
蕭科長
洪謀心
莊世英
陳天順
莊晨耀君
楊黃飛
林偕堂
戚旭仔
宋樹庭
林建生
湯盤君
沙臨川
王爺
陳宗熙
趙文書
孟兄
王捷
劉培初
吳君病
鄭烈
王仲宜
玉君
別元禧君
郭教君
朱氏
張永林
白川氏
唐宮
金順君
張兩夫
黃夫婦
陳錫卿
娟娟
孫炎
石錫勳
玉燕
多尚
李錦外
弗庵兄
權君
欒之樂
林煥章
王玉仁
宋斐如
蔡伯
拜六據尚
齊藤竹
伯齡
祝綿引
劉灤榆
曾君
單純
希由黃
昌立君
韓德爾
果樹園
李清奇
吳振興
萬山君
泰喜君
東君家
郭壽華
益謙
三點在尚
史豪君
楊基全
黃泉
付潮
基澤君
王仲
翁宅
徐秘書
安撫
碧蓮如
老正興
張氏
劉文英
汪仲嘗
平淦
廖雪香
阿霞
關於釋
薛人仰
許可
須安靜
池田君
白蘭
李進
林永芳
玉華
樊君祝
梁財兄
乾兄夫
南光氏
昌禮兄
王翼臣
幸庭
龔聯禎
白淵君
王兆年
王圓花
陳麗
黃金柱
胡喚芳
徐道
郭欽禮
泰成
談茶葉
基沙君
李萬居氏
伯榮兄
鄧二君
譚布泉
張兩兄
石四
賀喬遷
袁琮君
家與尚
魏子
李孝存君
邱兄
四點尚
顏德修
蔡木成
張文環
從朗君
袁九翁
安錕
於松波
阿仁
林田生
碧蓮太
尚君
訪秀霞
陳各節
林乃
張聘
蔡來順
祖國懷
花蓮鐘
林元彥君
黃錦城
吳澤
蔡誠正
郭君
周修曾
正基銓
谷氏
談仁
灤王
陳科長紹
黃紹皋
於重慶
趙秀珍
劉君
梁財
郭者
賴茂
麗園
碧蓮三
李國楨
蕭隴
翁紹榮
王文義
游彌堅
林挺生
納涼
劉子棟
吉見氏
周植
高之蠻
李延禧
王松波
於碧蓮
生沼氏
老居
徐砥中兄
沙麗川
半肇嘉哥
子文三
仲岑
吳鐵城
向勝
蕭添貴君
劉林發
吉見
彭德
北風
劉前
陳朝琴
陳君見
玉英
燕美
楊中
牛桃
簡君
龔氏
陳仲
榮澤
貞操
田甫
楊朝華
星賢
李增禮
王君
寶兄
澤田
張秋海
林東權
碧蓮訪
方針與他的
吳振輝
田島
三叔仔
時炳炳
高賓閣
水德
許丙親
侯翁
黃百祿
華光存
楊維命
王君佐
陳有德君
金梓
由肇嘉哥
孫多鈺
樊君宅
黃純青
朱世龍
黃文陶
蔡章麟
玉英仔
周大文
馬上就
萬傳君
振茂
翠霞
碧蓮父
楊基瀛君
張監察
祝鐵路
李典
蘇友梅
許慶華
南師張
餘裕
紅顏
谷軒
翁招榮
林夫婦
徐兩君
華裕登
基木君
幼呈君
廣田氏
李化南
王玉崙
杜秋雲
藤木
趙明儀
張秀吉
商君
涵碧樓
從高雄
王錫麒君
張道藩
鄂雲兄
顧敬曾
簡文發君
洪炎秋君
吳兄
吳水
馬馬
陳生君
金贏
羅營
翠瓊仔
華君
懷念碧蓮
蘇律師
黃振
由平
盧繼竇
楊金章
仲屏
賴宅與尚
許碧蓮
李丁
碧蓮相
王為清君
南君
郭天乙君
三點尚
紅雀
蔣委
宋君
季中
碧蓮先
羅萬
連兄到尚
碧蓮見
謝華飛
許子秋
錢莊
李志一君
楊基澤君
廖揚滿
馬達
鐘美
李際潤
張弘貴
朱媽
黃錦江
趙香九
謝文達
基椿君
郭德欽
水南洞
楊婦
賴夫婦
吳士春
東來順
楊明發君
乾仔嫂
小安
張泰喜
關東
祿官
溫科
華光
連母親
古亭
寶信
黃南鵬
田華陽
楊蘭洲
蘇紹文
黃棟
羅理
祝奮勉
鄒清
盛君
基哲兄
張思
郭欽義
吳昌禮
吳兄見
陳慶
藍茂山
陳步武
劉宅
昌昶
唐以後
伯榮
王柏榮
楊陶
袁琮
英秋
林慶華
大津君
鄭鴻源
鐘秋
青君
陳仲凱
江星祥
邱朝陽
孫炎武
陳牧師
董振德
劉戈青
七點
藤氏
史河
元禧君
林蘭芽
林德音
滿福君
周涵源
陳述
華英
滿洲託付對方
孫開灤
鄧輝
鈴爛
吳敦燦
康樂
碧蓮夜
李勉
唐榮
方清海
周植冬
濱田君
陳啟清
靈霞洞
阿華
陳墩樹
茹兄
周木強
盧志中
黃宗
雲龍兄
梁君
同碧蓮
林快青
蕭合純
林澄
邱君
劉營
瑞虎拉
祖密
振茂君
卓章
祝三連
王崇植
翁金護
左鎮
蔡河
陳火
嚴令碧蓮
王士海
李正綱
邱登
伯埏
列寧
李有福君
張三
蕭再興
念耀堂
雲憑憑
廖秀鸞
趙慶杰
世鴻
邱世洪
安藤主
林顯宗
徐弗庵
高君
陰天
劉見村
陳朝乾
何從兮
町在
秋三兄
蘅君
楊溪
賴兩君
陳金梓
達摩
林劍清
李瑛
碧仔姐
真莫明
陳欽梓
邱夫婦
菅野
米軍
王添
鐘秋樊
陳振東
張國健
蘇倩霞
老朱
